invoice_id,account_code,po_number,invoice_amount,total_paid,difference,status,payment_count
60,AC1000,PO100065,196.73,152.74,43.99,Short Pay,1
61,AC1000,PO100066,1677.46,1677.46,0.0,Paid,1
62,AC4000,PO100067,298.52,298.52,0.0,Paid,1
63,AC1000,PO100068,1802.9,1802.9,0.0,Paid,1
64,AC1000,PO100069,739.67,631.42,108.25,Short Pay,1
65,AC2000,PO100070,1855.24,3710.48,-1855.24,Duplicate,2
66,AC4000,PO100071,98.33,98.33,0.0,Paid,1
67,AC4000,PO100072,1614.36,1991.74,-377.38,Overpaid,1
68,AC3000,PO100073,360.44,0.0,360.44,Unpaid,0
69,AC1000,PO100074,795.96,795.96,0.0,Paid,1
70,AC3000,PO100076,645.12,645.12,0.0,Paid,1
71,AC2000,PO100077,96.15,96.15,0.0,Paid,1
72,AC3000,PO100078,593.28,593.28,0.0,Paid,1
73,AC3000,PO100080,1881.51,1600.82,280.69,Short Pay,1
74,AC2000,PO100081,1182.15,1182.15,0.0,Paid,1
75,AC3000,PO100083,1470.66,0.0,1470.66,Unpaid,0
76,AC4000,PO100084,1232.11,2464.22,-1232.11,Duplicate,2
77,AC2000,PO100085,546.71,546.71,0.0,Paid,1
78,AC1000,PO100086,1063.84,1260.24,-196.4,Overpaid,1
79,AC3000,PO100087,891.03,1782.06,-891.03,Duplicate,2
80,AC1000,PO100088,1453.52,1710.47,-256.95,Overpaid,1
81,AC3000,PO100089,834.68,602.44,232.24,Short Pay,1
82,AC4000,PO100090,1346.61,1346.61,0.0,Paid,1
83,AC3000,PO100091,841.85,841.85,0.0,Paid,1
84,AC3000,PO100092,609.48,1218.96,-609.48,Duplicate,2
85,AC4000,PO100093,912.21,912.21,0.0,Paid,1
86,AC1000,PO100095,603.38,603.38,0.0,Paid,1
87,AC1000,PO100096,1645.93,0.0,1645.93,Unpaid,0
88,AC2000,PO100097,1361.95,1704.67,-342.72,Overpaid,1
89,AC1000,PO100098,140.12,140.12,0.0,Paid,1
90,AC4000,PO100099,858.16,626.69,231.47,Short Pay,1
91,AC4000,PO100100,829.32,1658.64,-829.32,Duplicate,2
92,AC4000,PO100101,476.74,476.74,0.0,Paid,1
93,AC1000,PO100102,1136.94,1136.94,0.0,Paid,1
94,AC4000,PO100103,310.01,310.01,0.0,Paid,1
95,AC4000,PO100104,1244.67,1244.67,0.0,Paid,1
96,AC4000,PO100105,1799.56,1799.56,0.0,Paid,1
97,AC4000,PO100106,555.42,555.42,0.0,Paid,1
98,AC2000,PO100108,585.47,585.47,0.0,Paid,1
99,AC2000,PO100109,579.84,579.84,0.0,Paid,1
100,AC2000,PO100110,344.12,688.24,-344.12,Duplicate,2
